Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
2,12:34,3,10,LAC 39,6,0,"Justin Herbert sacked by Dawuane Smoot for -11 yards. Justin Herbert fumbles (forced by Dawuane Smoot), recovered by Foyesade Oluokun at LAC-28 (tackle by Dawuane Smoot)",0.3,-3.71
2,12:21,1,10,LAC 28,6,0,Travis Etienne right guard for 2 yards (tackle by Kyle Van Noy),3.71,3.44
2,11:43,2,8,LAC 26,6,0,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Derwin James),3.44,2.74
2,11:39,3,8,LAC 26,6,0,Trevor Lawrence pass complete short left to Evan Engram for 9 yards (tackle by Michael Davis),2.74,4.44
2,11:09,1,10,LAC 17,6,0,Travis Etienne left tackle for 3 yards (tackle by Khalil Mack and Derwin James),4.44,4.32
2,10:30,2,7,LAC 14,12,0,"Trevor Lawrence pass complete short right to Zay Jones for 14 yards, touchdown",4.32,7
2,10:23,,,LAC 15,13,0,Riley Patterson kicks extra point good,0,0
2,10:23,,,JAX 35,13,0,"Riley Patterson kicks off 65 yards, touchback.",0,0.61
2,10:23,1,10,LAC 25,13,0,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by Tyson Campbell),0.61,0.6
2,9:49,2,6,LAC 29,13,0,Justin Herbert pass incomplete short left intended for Zander Horvath (defended by Travon Walker),0.6,-0.1
2,9:45,3,6,LAC 29,13,0,Justin Herbert pass complete short left to DeAndre Carter for 17 yards (tackle by Andre Cisco),-0.1,1.99
2,9:15,1,10,LAC 46,13,0,Sony Michel up the middle for no gain (tackle by Rayshawn Jenkins),1.99,1.45
2,8:38,2,10,LAC 46,13,0,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Tre Herndon),1.45,2.72
2,8:10,1,10,JAX 43,13,0,Justin Herbert pass complete short middle to Sony Michel for 9 yards (tackle by Devin Lloyd and Foyesade Oluokun),2.72,3.39
2,7:29,2,1,JAX 34,13,0,Justin Herbert pass complete short middle to DeAndre Carter for 8 yards (tackle by Darious Williams and Rayshawn Jenkins),3.39,3.84
2,6:57,1,10,JAX 26,13,0,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Darious Williams),3.84,4.58
2,6:16,1,10,JAX 15,13,6,"Justin Herbert pass complete short left to Mike Williams for 15 yards, touchdown",4.58,7
2,6:10,,,JAX 15,13,7,Dustin Hopkins kicks extra point good,0,0
2,6:10,,,LAC 35,13,7,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
2,6:10,1,10,JAX 25,13,7,James Robinson right guard for 5 yards (tackle by Michael Davis),0.61,0.74
2,5:37,2,5,JAX 30,13,7,James Robinson right tackle for no gain (tackle by Sebastian Joseph-Day and Kyle Van Noy),0.74,0.04
2,4:55,3,5,JAX 30,13,7,Trevor Lawrence pass complete short middle to Zay Jones for 14 yards (tackle by Asante Samuel),0.04,1.86
2,4:12,1,10,JAX 44,13,7,"Trevor Lawrence pass complete deep right to Christian Kirk for 35 yards (tackle by Nasir Adderley). Penalty on Alohi Gilman: Defensive Holding, 5 yards (declined)",1.86,4.17
2,4:03,1,10,LAC 21,13,7,Trevor Lawrence pass complete short left to James Robinson for 7 yards (tackle by Drue Tranquill),4.17,4.74
2,3:13,2,3,LAC 14,13,7,James Robinson up the middle for 1 yard (tackle by Drue Tranquill),4.74,4.24
2,2:32,3,2,LAC 13,13,7,Trevor Lawrence pass complete short left to Zay Jones for 3 yards (tackle by Michael Davis),4.24,4.91
2,2:00,1,10,LAC 10,13,7,James Robinson left end for -1 yards (tackle by Kyle Van Noy and Michael Davis),4.91,4.02
2,1:15,2,11,LAC 11,13,7,"Trevor Lawrence pass complete short left to Evan Engram for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Drue Tranquill)",4.02,3.12
2,1:15,3,11,LAC 11,13,7,Trevor Lawrence scrambles up the middle for 6 yards (tackle by Derwin James),3.12,3.01
2,1:04,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:04,4,5,LAC 5,16,7,Riley Patterson 23 yard field goal good,3.01,3
