Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
,,,,,,,blank,,
2,1:46,4,1,LVR 28,3,10,Justin Herbert up the middle for no gain (tackle by Maxx Crosby and Andrew Billings),1.72,-0.81
2,1:38,1,10,LVR 28,3,10,Derek Carr sacked by Khalil Mack for -3 yards,0.81,-0.14
2,1:01,2,13,LVR 25,3,10,Derek Carr pass deep middle intended for Darren Waller is intercepted by Drue Tranquill at LAC-49 and returned for 20 yards (tackle by Brandon Bolden),-0.14,-3.51
2,0:45,1,10,LVR 31,3,10,Austin Ekeler right tackle for 8 yards (tackle by Rock Ya-Sin and Duron Harmon),3.51,4.05
2,0:40,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:40,2,2,LVR 23,3,16,"Justin Herbert pass complete deep middle to DeAndre Carter for 23 yards, touchdown",4.05,7
2,0:35,,,LVR 15,3,17,Dustin Hopkins kicks extra point good,0,0
2,0:35,,,LAC 35,3,17,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
2,0:35,1,10,LVR 25,3,17,Brandon Bolden left end for 1 yard (tackle by Khalil Mack and Kenneth Murray),0.61,0.2
3,15:00,,,LAC 35,3,17,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,LVR 25,3,17,Derek Carr pass complete short left to Davante Adams for 11 yards (tackle by Derwin James),0.61,1.33
3,14:38,1,10,LVR 36,3,17,Derek Carr pass complete deep left to Davante Adams for 41 yards (tackle by Michael Davis and Kyle Van Noy),1.33,4.04
3,13:50,1,10,LAC 23,3,17,Brandon Bolden up the middle for 5 yards (tackle by Drue Tranquill and Bryce Callahan),4.04,4.21
3,13:08,2,5,LAC 18,3,17,Derek Carr pass incomplete short right,4.21,3.49
3,12:45,3,5,LAC 18,9,17,"Derek Carr pass complete to Brandon Bolden for 18 yards, touchdown",3.49,7
3,12:39,,,LAC 15,10,17,Daniel Carlson kicks extra point good,0,0
3,12:39,,,LVR 35,10,17,"Daniel Carlson kicks off 53 yards, returned by Joshua Kelley for 15 yards (tackle by Roderic Teamer)",0,0.74
3,12:34,1,10,LAC 27,10,17,Austin Ekeler right tackle for no gain (tackle by Maxx Crosby),0.74,0.2
3,11:57,2,10,LAC 27,10,17,Justin Herbert pass complete short left to Austin Ekeler for 13 yards (tackle by Johnathan Abram),0.2,1.6
3,11:22,1,10,LAC 40,10,17,Justin Herbert pass complete short middle to Tre' McKitty for 9 yards (tackle by Johnathan Abram),1.6,2.27
3,10:56,2,1,LAC 49,10,17,Joshua Kelley left end for 6 yards (tackle by Andrew Billings),2.27,2.59
3,10:27,1,10,LVR 45,10,17,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Johnathan Abram and Roderic Teamer),2.59,2.72
3,9:43,2,5,LVR 40,10,17,Joshua Kelley left end for no gain (tackle by Andrew Billings),2.72,2.01
3,9:05,3,5,LVR 40,10,17,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Johnathan Abram),2.01,3.25
3,8:17,1,10,LVR 35,10,17,Justin Herbert pass complete short left to Joshua Kelley for 5 yards (tackle by Nate Hobbs),3.25,3.38
3,7:39,2,5,LVR 30,10,17,Joshua Kelley up the middle for 12 yards (tackle by Johnathan Abram),3.38,4.37
3,7:00,1,10,LVR 18,10,17,Justin Herbert pass incomplete short left intended for Josh Palmer,4.37,3.8
3,6:50,2,10,LVR 18,10,23,"Justin Herbert pass complete short left to Gerald Everett for 18 yards, touchdown",3.8,7
