Player,,,,,,,,,,,
Nasir Adderley,,,,,,,,,,,
Keenan Allen,,,,,,,,,,,
Jeremiah Attaochu,,,,,,,,,,,
Zack Bailey,,,,,,,,,,,
Michael Bandy,,,,,,,,,,,
Taylor Bertolet,,,,,,,,,,,
Joey Bosa,,,,,,,,,,,
Bryce Callahan,,,,,,,,,,,
DeAndre Carter,,,,,,,,,,,
Will Clapp,,,,,,,,,,,
Christian Covington,,,,,,,,,,,
Chase Daniel,,,,,,,,,,,
Michael Davis,,,,,,,,,,,
Tyeler Davison,,,,,,,,,,,
Cameron Dicker,,,,,,,,,,,
Austin Ekeler,,,,,,,,,,,
Gerald Everett,,,,,,,,,,,
Breiden Fehoko,,,,,,,,,,,
Matt Feiler,,,,,,,,,,,
Morgan Fox,,,,,,,,,,,
Joe Gaziano,,,,,,,,,,,
Alohi Gilman,,,,,,,,,,,
Jalen Guyton,,,,,,,,,,,
Kemon Hall,,,,,,,,,,,
Josh Harris,,,,,,,,,,,
Justin Herbert,,,,,,,,,,,
Christopher Hinton,,,,,,,,,,,
Dustin Hopkins,,,,,,,,,,,
Zander Horvath,,,,,,,,,,,
J.C. Jackson,,,,,,,,,,,
Brenden Jaimes,,,,,,,,,,,
Derwin James,,,,,,,,,,,
Austin Johnson,,,,,,,,,,,
Zion Johnson,,,,,,,,,,,
Sebastian Joseph-Day,,,,,,,,,,,
Joshua Kelley,,,,,,,,,,,
Raheem Layne,,,,,,,,,,,
Deane Leonard,,,,,,,,,,,
Corey Linsley,,,,,,,,,,,
Khalil Mack,,,,,,,,,,,
Tre' McKitty,,,,,,,,,,,
Sony Michel,,,,,,,,,,,
David Moa,,,,,,,,,,,
Jason Moore,,,,,,,,,,,
Kenneth Murray,,,,,,,,,,,
Nick Niemann,,,,,,,,,,,
Storm Norton,,,,,,,,,,,
Amen Ogbongbemiga,,,,,,,,,,,
Otito Ogbonnia,,,,,,,,,,,
Josh Palmer,,,,,,,,,,,
Donald Parham,,,,,,,,,,,
Trey Pipkins,,,,,,,,,,,
Troy Reeder,,,,,,,,,,,
Richard Rodgers,,,,,,,,,,,
Larry Rountree,,,,,,,,,,,
Chris Rumph,,,,,,,,,,,
Jamaree Salyer,,,,,,,,,,,
Asante Samuel Jr.,,,,,,,,,,,
Foster Sarell,,,,,,,,,,,
JK Scott,,,,,,,,,,,
Rashawn Slater,,,,,,,,,,,
Stone Smartt,,,,,,,,,,,
Isaiah Spiller,,,,,,,,,,,
Ja'Sir Taylor,,,,,,,,,,,
Jerry Tillery,,,,,,,,,,,
Drue Tranquill,,,,,,,,,,,
Derrek Tuszka,,,,,,,,,,,
Kyle Van Noy,,,,,,,,,,,
Mike Williams,,,,,,,,,,,
JT Woods,,,,,,,,,,,
Team Total,,,,,,,,,,,
