Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
2,14:23,3,3,JAX 22,17,0,Trevor Lawrence sacked by and Sebastian Joseph-Day for -6 yards and Kenneth Murray for -6 yards,-0.51,-2.39
2,13:46,4,9,JAX 16,17,0,Logan Cooke punts 46 yards out of bounds,-2.39,-1.47
2,13:36,1,10,LAC 38,17,0,Justin Herbert pass complete short right to Donald Parham for 2 yards (tackle by Josh Allen),1.47,1.19
2,12:53,2,8,LAC 40,17,0,Joshua Kelley up the middle for 3 yards (tackle by Chad Muma and Rayshawn Jenkins),1.19,0.89
2,12:25,3,5,LAC 43,17,0,Justin Herbert pass complete short right to Donald Parham for 12 yards (tackle by Rayshawn Jenkins),0.89,2.59
2,11:46,1,10,JAX 45,17,0,Justin Herbert sacked by Josh Allen for -6 yards,2.59,1.23
2,11:05,2,16,LAC 49,17,0,Austin Ekeler up the middle for 5 yards (tackle by Roy Robertson-Harris and DaVon Hamilton),1.23,1.22
2,10:26,3,11,JAX 46,17,0,Justin Herbert pass complete short middle to Keenan Allen for 23 yards (tackle by Andre Cisco),1.22,4.04
2,9:42,1,10,JAX 23,17,0,Joshua Kelley up the middle for 2 yards (tackle by Josh Allen and Darious Williams),4.04,3.77
2,9:05,2,8,JAX 21,17,0,Justin Herbert pass complete short right to Josh Palmer for 13 yards (tackle by Chad Muma),3.77,5.37
2,8:21,1,8,JAX 8,17,0,"Penalty on Zion Johnson: False Start, 5 yards (accepted) (no play)",5.37,4.53
2,8:03,1,13,JAX 13,17,0,Justin Herbert pass incomplete short middle intended for Donald Parham (defended by Andre Cisco),4.53,3.72
2,7:59,2,13,JAX 13,17,0,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by Josh Allen and Rayshawn Jenkins),3.72,3.36
2,7:17,3,9,JAX 9,23,0,"Justin Herbert pass complete short right to Gerald Everett for 9 yards, touchdown",3.36,7
2,7:12,,,JAX 15,24,0,Cameron Dicker kicks extra point good,0,0
2,7:12,,,LAC 35,24,0,"Cameron Dicker kicks off 67 yards, returned by Jamal Agnew for 52 yards (tackle by Cameron Dicker)",0,2.26
2,7:02,1,10,LAC 50,24,0,Trevor Lawrence pass incomplete deep middle intended for Christian Kirk (defended by Alohi Gilman),2.26,1.71
2,6:55,2,10,LAC 50,24,0,Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Michael Davis),1.71,1.03
2,6:55,3,10,LAC 50,24,0,Trevor Lawrence pass intended for Evan Engram is intercepted by Asante Samuel at LAC-32 and returned for no gain (tackle by Evan Engram),1.03,-1.07
2,6:51,1,10,LAC 32,24,0,Austin Ekeler left end for no gain (tackle by Foyesade Oluokun),1.07,0.53
2,6:17,2,10,LAC 32,24,0,Joshua Kelley left end for 4 yards (tackle by Foyesade Oluokun),0.53,0.37
2,6:02,3,6,LAC 36,24,0,Justin Herbert pass complete short right to Donald Parham for 4 yards (tackle by Foyesade Oluokun),0.37,-0.72
2,5:34,4,2,LAC 40,24,0,"JK Scott punts 54 yards, recovered by Amen Ogbongbemiga at JAC-6",-0.72,5.83
2,5:14,1,6,JAX 6,24,0,Austin Ekeler left end for 1 yard (tackle by Folorunso Fatukasi and Arden Key),5.83,5.15
2,4:38,2,5,JAX 5,24,0,Justin Herbert pass incomplete short right,5.15,4.26
2,4:31,3,5,JAX 5,24,0,Justin Herbert pass incomplete short middle intended for Keenan Allen,4.26,3.01
2,4:28,4,5,JAX 5,27,0,Cameron Dicker 23 yard field goal good,3.01,3
2,4:25,,,LAC 35,27,0,"Cameron Dicker kicks off 43 yards, returned by Chris Manhertz for 6 yards (tackle by Zander Horvath)",0,0.81
2,4:23,1,10,JAX 28,27,0,Travis Etienne right end for 3 yards (tackle by Michael Davis and Kyle Van Noy),0.81,0.67
2,3:59,2,7,JAX 31,27,0,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Michael Davis),0.67,0.63
2,3:24,3,2,JAX 36,27,0,Trevor Lawrence pass incomplete short right intended for Christian Kirk,0.63,-0.98
2,3:18,4,2,JAX 36,27,0,"Logan Cooke punts 46 yards, fair catch by Bryce Callahan at LAC-18",-0.98,-0.04
2,3:11,1,10,LAC 18,27,0,Justin Herbert pass incomplete short left intended for Keenan Allen (defended by Rayshawn Jenkins),0.04,-0.49
2,3:07,2,10,LAC 18,27,0,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by Devin Lloyd),-0.49,-0.02
2,2:29,3,1,LAC 27,27,0,"Justin Herbert aborted snap, recovered by Michael Bandy at LAC-17 (tackle by Roy Robertson-Harris)",-0.02,-2.32
2,2:00,4,11,LAC 17,27,0,"JK Scott punts 34 yards, returned by Tevaughn Campbell for 4 yards (tackle by Chris Rumph)",-2.32,-2.46
2,1:49,1,10,LAC 47,27,0,Trevor Lawrence pass complete short right to Travis Etienne for 12 yards (tackle by Khalil Mack and Alohi Gilman),2.46,3.25
2,1:28,1,10,LAC 35,27,0,Trevor Lawrence pass incomplete short right intended for Zay Jones (defended by Michael Davis),3.25,2.7
2,1:22,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,1:22,2,10,LAC 35,27,0,Travis Etienne left end for 5 yards (tackle by Alohi Gilman and Bryce Callahan),2.7,2.68
2,1:00,3,5,LAC 30,27,0,Trevor Lawrence pass complete short left to Christian Kirk for 4 yards (tackle by Derwin James),2.68,1.89
2,0:48,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:48,4,1,LAC 26,27,0,Trevor Lawrence pass complete short middle to Marvin Jones for 12 yards (tackle by Alohi Gilman),1.89,4.65
2,0:30,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:30,1,10,LAC 14,27,0,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Asante Samuel),4.65,4.9
2,0:28,2,5,LAC 9,27,6,"Trevor Lawrence pass complete short middle to Evan Engram for 9 yards, touchdown",4.9,7
2,0:24,,,LAC 15,27,7,Riley Patterson kicks extra point good,0,0
2,0:24,,,JAX 35,27,7,"Logan Cooke kicks off 65 yards, returned by Michael Bandy for 15 yards",0,-0.22
2,0:21,1,10,LAC 15,27,7,Justin Herbert kneels for -1 yards,-0.22,-0.82
3,15:00,,,JAX 35,27,7,"Logan Cooke kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,LAC 25,27,7,Austin Ekeler right end for -4 yards (tackle by Roy Robertson-Harris and DaVon Hamilton),0.61,-0.48
3,14:27,2,14,LAC 21,27,7,Justin Herbert pass complete short middle to Tre' McKitty for 5 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),-0.48,-0.49
3,13:48,3,9,LAC 26,27,7,"Justin Herbert pass complete short left to Gerald Everett for 25 yards (tackle by Tyson Campbell). Penalty on Travon Walker: Defensive Offside, 5 yards (declined)",-0.49,2.32
3,13:25,1,10,JAX 49,27,7,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Tyson Campbell),2.32,3.05
3,12:49,1,10,JAX 38,27,7,Justin Herbert pass incomplete short middle intended for Gerald Everett,3.05,2.51
3,12:43,2,10,JAX 38,27,7,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by DaVon Hamilton),2.51,1.82
3,12:39,3,10,JAX 38,27,7,Justin Herbert pass incomplete short left intended for Austin Ekeler,1.82,0.72
3,12:35,4,10,JAX 38,27,7,"JK Scott punts 27 yards, fair catch by Jamal Agnew at JAC-11",0.72,0.37
3,12:28,1,10,JAX 11,27,7,Travis Etienne right end for 3 yards (tackle by Joey Bosa),-0.37,-0.53
3,11:56,2,7,JAX 14,27,7,Trevor Lawrence pass complete short right to Christian Kirk for 10 yards (tackle by Derwin James),-0.53,0.54
3,11:19,1,10,JAX 24,27,7,Trevor Lawrence pass complete short right to Evan Engram for 7 yards (tackle by Michael Davis),0.54,0.94
3,11:06,2,3,JAX 31,27,7,Travis Etienne up the middle for 4 yards (tackle by Sebastian Joseph-Day and Breiden Fehoko),0.94,1.27
3,10:30,1,10,JAX 35,27,7,Trevor Lawrence pass complete short left to Zay Jones for 5 yards (tackle by Michael Davis),1.27,1.4
3,9:55,2,5,JAX 40,27,7,Trevor Lawrence pass complete short middle to Evan Engram for 9 yards (tackle by Bryce Callahan),1.4,2.19
3,9:27,1,10,JAX 49,27,7,Trevor Lawrence pass complete short left to Christian Kirk for 5 yards (tackle by Bryce Callahan and Kenneth Murray),2.19,2.32
