Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
1,1:08,1,10,LAC 25,17,0,Justin Herbert pass complete deep right to DeAndre Carter for 22 yards,0.61,2.06
1,0:30,1,10,LAC 47,17,0,Justin Herbert pass complete short right to Austin Ekeler for 10 yards (tackle by Jordyn Brooks),2.06,2.72
2,15:00,1,10,SEA 43,17,0,Justin Herbert pass complete short left to Sony Michel for 8 yards (tackle by Shelby Harris),2.72,3.26
2,14:39,2,2,SEA 35,17,0,Justin Herbert pass complete short middle to Mike Williams for 14 yards (tackle by Tariq Woolen),3.26,4.17
2,14:05,1,10,SEA 21,17,0,Sony Michel up the middle for 4 yards (tackle by Poona Ford),4.17,4.2
2,13:27,2,6,SEA 17,17,0,Justin Herbert pass incomplete deep right intended for DeAndre Carter (defended by Ryan Neal),4.2,3.46
2,13:22,,,,,,Timeout #3 by Seattle Seahawks,,
2,13:22,3,6,SEA 17,17,0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Michael Jackson),3.46,5.6
2,12:50,1,7,SEA 7,17,6,"Austin Ekeler left guard for 7 yards, touchdown",5.6,7
2,12:44,,,SEA 15,17,7,Taylor Bertolet kicks extra point good,0,0
2,12:44,,,LAC 35,17,7,"Taylor Bertolet kicks off 60 yards, returned by D'Wayne Eskridge for 25 yards (tackle by Derrek Tuszka and Amen Ogbongbemiga)",0,0.94
2,12:38,1,10,SEA 30,17,7,Geno Smith pass complete short right to Noah Fant for 7 yards (tackle by Derwin James),0.94,1.34
2,12:07,2,3,SEA 37,17,7,"Geno Smith aborted snap, recovered by Khalil Mack at SEA-33 (tackle by D'Wayne Eskridge)",1.34,-3.38
2,12:00,1,10,SEA 33,17,7,Justin Herbert sacked by Al Woods for no gain,3.38,2.84
2,11:23,2,10,SEA 33,17,7,Austin Ekeler up the middle for 3 yards (tackle by Ryan Neal),2.84,2.54
2,11:03,3,7,SEA 30,17,7,Justin Herbert pass complete short middle to Mike Williams for 10 yards (tackle by Coby Bryant and Tariq Woolen),2.54,4.24
2,10:26,1,10,SEA 20,17,7,Justin Herbert pass incomplete deep left intended for Mike Williams,4.24,3.69
2,10:21,2,10,SEA 20,17,7,Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Quandre Diggs),3.69,4.1
2,9:43,3,3,SEA 13,17,13,"Justin Herbert pass complete short right to Mike Williams for 13 yards, touchdown",4.1,7
2,9:37,,,SEA 15,17,14,Taylor Bertolet kicks extra point good,0,0
2,9:37,,,LAC 35,17,14,"Taylor Bertolet kicks off 65 yards, touchback.",0,0.61
2,9:37,1,10,SEA 25,17,14,Kenneth Walker up the middle for 8 yards (tackle by Kenneth Murray),0.61,1.14
2,9:01,2,2,SEA 33,17,14,Kenneth Walker right tackle for 3 yards (tackle by Otito Ogbonnia),1.14,1.33
2,8:18,1,10,SEA 36,17,14,Kenneth Walker right tackle for 2 yards (tackle by Jerry Tillery and Derwin James),1.33,1.06
2,7:37,2,8,SEA 38,17,14,"Geno Smith pass complete to Marquise Goodwin for no gain. Penalty on D'Wayne Eskridge: Offensive Pass Interference, 10 yards (accepted) (no play)",1.06,-0.29
2,7:06,2,18,SEA 28,17,14,Geno Smith pass complete short left to Will Dissly for 11 yards (tackle by Kenneth Murray),-0.29,0.5
2,6:19,3,7,SEA 39,17,14,Geno Smith pass complete short right to DeeJay Dallas for 3 yards (tackle by Nasir Adderley),0.5,-0.65
2,5:33,4,5,SEA 41,17,14,"Michael Dickson punts 46 yards, fair catch by DeAndre Carter at LAC-12. Penalty on Joey Blount: Kick Catch Interference, 15 yards (accepted)",-0.65,-0.74
2,5:33,1,10,LAC 27,17,14,Austin Ekeler left tackle for 1 yard (tackle by Uchenna Nwosu and Boye Mafe),0.74,0.33
2,5:15,2,9,LAC 28,17,14,Justin Herbert pass complete short right to Michael Bandy for -5 yards (tackle by Coby Bryant),0.33,-1.02
2,4:39,3,14,LAC 23,17,14,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Shelby Harris),-1.02,-1.83
2,4:34,4,14,LAC 23,17,14,"JK Scott punts 50 yards, returned by DeeJay Dallas for no gain (tackle by Ja'Sir Taylor and Josh Harris)",-1.83,-0.74
2,4:23,1,10,SEA 27,17,14,Geno Smith pass complete short right to Marquise Goodwin for 3 yards (tackle by Asante Samuel),0.74,0.6
2,3:49,2,7,SEA 30,17,14,Geno Smith pass complete short right to Will Dissly for 8 yards (tackle by Bryce Callahan),0.6,1.47
2,3:09,1,10,SEA 38,17,14,Geno Smith pass complete short left to Colby Parkinson for 28 yards (tackle by Nasir Adderley),1.47,3.31
2,2:33,1,10,LAC 34,17,14,Kenneth Walker right tackle for 2 yards (tackle by Kyle Van Noy and Derwin James),3.31,3.04
2,2:00,2,8,LAC 32,17,14,Geno Smith scrambles left end for 9 yards (tackle by Nasir Adderley),3.04,4.04
2,1:50,1,10,LAC 23,17,14,Kenneth Walker left end for no gain (tackle by Drue Tranquill and Khalil Mack),4.04,3.5
2,1:46,,,,,,Timeout #1 by Los Angeles Chargers,,
