Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
2,13:05,1,10,LAC 48,13,10,Justin Herbert pass complete to Josh Palmer for -2 yards (tackle by Jaylen Watson),2.13,1.31
2,12:24,2,12,LAC 46,13,10,Justin Herbert pass incomplete intended for Michael Bandy (defended by Carlos Dunlap),1.31,0.63
2,12:20,3,12,LAC 46,13,10,Justin Herbert sacked by Michael Danna for -8 yards,0.63,-0.85
2,11:42,4,20,LAC 38,13,10,"JK Scott punts 46 yards, returned by Kadarius Toney for 5 yards (tackle by Ja'Sir Taylor and Chris Rumph)",-0.85,-0.34
2,11:30,1,10,KAN 21,13,10,Isiah Pacheco left guard for 7 yards (tackle by Morgan Fox),0.34,0.75
2,10:53,2,3,KAN 28,13,10,Patrick Mahomes pass incomplete short right,0.75,0.04
2,10:45,3,3,KAN 28,13,10,Patrick Mahomes pass incomplete short right intended for Travis Kelce,0.04,-1.5
2,10:41,4,3,KAN 28,13,10,Tommy Townsend punts 42 yards out of bounds,-1.5,-0.94
2,10:34,1,10,LAC 30,13,10,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by L'Jarius Sneed),0.94,0.39
2,10:30,2,10,LAC 30,13,10,Austin Ekeler right tackle for 6 yards (tackle by Nick Bolton),0.39,0.5
2,9:51,3,4,LAC 36,13,10,Justin Herbert pass complete short middle to Stone Smartt for 6 yards (tackle by Justin Reid),0.5,1.73
2,9:14,1,10,LAC 42,13,10,Justin Herbert pass complete short left to Isaiah Spiller for 3 yards (tackle by Willie Gay and Trent McDuffie),1.73,1.59
2,8:30,2,7,LAC 45,13,10,Justin Herbert pass complete deep left to DeAndre Carter for 20 yards (tackle by Jaylen Watson),1.59,3.25
2,7:47,1,10,KAN 35,13,10,Justin Herbert pass complete short right to Josh Palmer for 6 yards (tackle by Joshua Williams),3.25,3.51
2,7:10,2,4,KAN 29,13,10,Justin Herbert pass complete short right to Josh Palmer for 3 yards (tackle by Joshua Williams),3.51,3.2
2,6:47,3,1,KAN 26,13,10,Justin Herbert up the middle for 2 yards (tackle by Frank Clark),3.2,3.97
2,6:15,1,10,KAN 24,13,10,Isaiah Spiller up the middle for 11 yards (tackle by Justin Reid and Willie Gay),3.97,4.71
2,5:32,1,10,KAN 13,13,10,Austin Ekeler up the middle for 6 yards (tackle by Willie Gay and Juan Thornhill),4.71,5.15
2,4:55,2,4,KAN 7,13,10,Austin Ekeler left tackle for 3 yards (tackle by Juan Thornhill and Nick Bolton),5.15,5.01
2,4:16,,,,,,Timeout #2 by Los Angeles Chargers,,
2,4:16,,,,,,Timeout #2 by Kansas City Chiefs,,
2,4:16,3,1,KAN 4,13,10,Zander Horvath right guard for 3 yards (tackle by L'Jarius Sneed),5.01,6.97
2,3:35,1,1,KAN 1,13,16,"Austin Ekeler for 1 yard, touchdown",6.97,7
2,3:31,,,KAN 15,13,17,Cameron Dicker kicks extra point good,0,0
2,3:31,,,LAC 35,13,17,"Penalty on Nick Bolton: Face Mask (15 Yards), 15 yards (accepted) (no play)",0,-2.26
2,3:31,1,10,LAC 50,13,17,"Cameron Dicker kicks off 44 yards, returned by Isiah Pacheco for no gain",2.26,-0.38
2,3:30,1,10,KAN 6,13,17,Isiah Pacheco right guard for 5 yards (tackle by Khalil Mack and Drue Tranquill),-0.38,-0.42
2,2:56,2,5,KAN 11,13,17,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,-0.42,-0.84
2,2:52,3,5,KAN 11,13,17,Patrick Mahomes pass incomplete short left intended for Travis Kelce,-0.84,-2.49
2,2:49,4,5,KAN 11,13,17,"Tommy Townsend punts 50 yards, fair catch by DeAndre Carter at LAC-39",-2.49,-1.53
2,2:41,1,10,LAC 39,13,17,Justin Herbert pass complete short left to Keenan Allen for 11 yards (tackle by Nick Bolton),1.53,2.26
2,2:12,1,10,LAC 50,13,17,Austin Ekeler left end for 3 yards (tackle by Trent McDuffie),2.26,2.12
2,2:00,2,7,KAN 47,13,17,Austin Ekeler up the middle for no gain (tackle by Michael Danna and Nick Bolton),2.12,1.42
2,1:20,3,7,KAN 47,13,17,Justin Herbert scrambles for 5 yards (tackle by Nick Bolton),1.42,3.78
2,1:13,1,10,KAN 27,13,17,"Penalty on Nick Bolton: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",3.78,3.78
2,1:13,1,10,KAN 27,13,17,Justin Herbert pass complete short middle to Josh Palmer for 16 yards (tackle by Bryan Cook),3.78,4.84
2,0:55,1,10,KAN 11,13,17,Austin Ekeler left end for 9 yards (tackle by Bryan Cook),4.84,5.85
2,0:37,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:37,2,1,KAN 2,13,17,Austin Ekeler right end for -1 yards (tackle by L'Jarius Sneed and Joshua Williams),5.85,4.89
2,0:22,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:22,3,2,KAN 3,13,17,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by L'Jarius Sneed),4.89,3.05
2,0:17,4,2,KAN 3,13,20,Cameron Dicker 21 yard field goal good,3.05,3
2,0:14,,,LAC 35,13,20,"Cameron Dicker kicks off 48 yards, returned by Michael Burton for 20 yards (tackle by Derrek Tuszka and Ja'Sir Taylor)",0,1.4
2,0:06,1,10,KAN 37,13,20,Patrick Mahomes pass incomplete short right intended for Skyy Moore,1.4,0.86
2,0:03,2,10,KAN 37,13,20,Patrick Mahomes pass complete deep left to Justin Watson for 29 yards (tackle by Asante Samuel),0.86,3.31
3,15:00,,,KAN 35,13,20,"Harrison Butker kicks off 65 yards, returned by DeAndre Carter for 21 yards (tackle by Joshua Williams and Jack Cochrane). Penalty on Nick Niemann: Offensive Holding, 10 yards (declined) . Penalty on Deane Leonard: Offensive Holding, 10 yards (accepted)",0,-0.37
3,14:54,1,10,LAC 11,13,20,Austin Ekeler right tackle for 4 yards (tackle by L'Jarius Sneed),-0.37,-0.43
3,14:23,2,6,LAC 15,13,20,Justin Herbert pass complete short left to Josh Palmer for 16 yards (tackle by Trent McDuffie and Nick Bolton),-0.43,1
3,13:46,1,10,LAC 31,13,20,Justin Herbert pass complete to DeAndre Carter for 5 yards (tackle by Willie Gay),1,1.14
3,13:01,2,5,LAC 36,13,20,Isaiah Spiller right end for -2 yards (tackle by Willie Gay and Joshua Williams),1.14,0.17
3,12:15,3,7,LAC 34,13,20,"Penalty on Trey Pipkins: False Start, 5 yards (accepted) (no play)",0.17,-0.49
3,12:15,3,12,LAC 29,13,20,Justin Herbert sacked by Michael Danna for -9 yards,-0.49,-2.03
3,11:21,4,21,LAC 20,13,20,"JK Scott punts 49 yards, returned by Skyy Moore for 2 yards (tackle by Nick Niemann and Alohi Gilman)",-2.03,-1.14
3,11:12,1,10,KAN 33,13,20,Isiah Pacheco right end for 18 yards (tackle by Drue Tranquill),1.14,2.32
3,10:56,1,10,LAC 49,13,20,Isiah Pacheco right end for 9 yards (tackle by Drue Tranquill),2.32,3
3,10:25,2,1,LAC 40,13,20,Isiah Pacheco right end for 8 yards (tackle by Morgan Fox),3,3.45
3,9:54,1,10,LAC 32,13,20,Isiah Pacheco left tackle for 4 yards (tackle by Bryce Callahan),3.45,3.44
3,9:08,2,6,LAC 28,13,20,"Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling. Penalty on Kyle Van Noy: Defensive Offside, 5 yards (accepted) (no play)",3.44,4.12
3,9:01,2,1,LAC 23,13,20,Jerick McKinnon left tackle for 4 yards (tackle by Sebastian Joseph-Day and Derwin James),4.12,4.31
3,8:27,1,10,LAC 19,13,20,Jerick McKinnon left guard for 7 yards (tackle by Troy Reeder),4.31,4.92
3,7:50,2,3,LAC 12,13,20,Jerick McKinnon left guard for 2 yards (tackle by Drue Tranquill),4.92,4.69
3,7:13,3,1,LAC 10,13,20,Isiah Pacheco up the middle for -1 yards (tackle by Morgan Fox and Joe Gaziano),4.69,2.82
3,6:25,4,2,LAC 11,16,20,Harrison Butker 30 yard field goal good,2.82,3
3,6:22,,,KAN 35,16,20,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
3,6:22,1,10,LAC 25,16,20,Justin Herbert pass incomplete short right,0.61,0.06
3,6:18,2,10,LAC 25,16,20,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Nick Bolton),0.06,0.56
3,5:46,3,1,LAC 34,16,20,Austin Ekeler right end for no gain (tackle by Justin Reid and Willie Gay),0.56,-1.11
3,4:53,4,1,LAC 34,16,20,JK Scott punts 52 yards downed by Zander Horvath,-1.11,0.28
3,4:45,1,10,KAN 14,16,20,Patrick Mahomes sacked by Derwin James for -7 yards,-0.28,-1.29
3,4:02,2,17,KAN 7,16,20,Patrick Mahomes pass incomplete deep right intended for Noah Gray (defended by Troy Reeder),-1.29,-2.24
