Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
2,2:45,3,11,TEN 43,7,7,Ryan Tannehill pass complete short middle to Racey McMath for 1 yard (tackle by Drue Tranquill and Kenneth Murray),0.5,-0.46
2,2:00,4,10,TEN 44,7,7,"Ryan Stonehouse punts 56 yards, touchback.",-0.46,-0.28
2,1:52,1,10,LAC 20,7,7,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Roger McCreary and Andrew Adams),0.28,0.68
2,1:32,2,3,LAC 27,7,7,"Penalty on Josh Palmer: False Start, 5 yards (accepted) (no play)",0.68,0
2,1:23,2,8,LAC 22,7,7,Justin Herbert pass complete short right to Josh Palmer for 14 yards (tackle by Greg Mabin),0,1.33
2,1:06,1,10,LAC 36,7,7,Justin Herbert pass complete short right to Gerald Everett for 10 yards (tackle by Jeffery Simmons),1.33,1.99
2,0:42,1,10,LAC 46,7,7,Justin Herbert pass complete short right to DeAndre Carter for 15 yards (tackle by Greg Mabin),1.99,2.98
2,0:35,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:35,1,10,TEN 39,7,7,Justin Herbert pass complete short middle to Donald Parham for 9 yards (tackle by Andrew Adams and Monty Rice),2.98,3.66
2,0:28,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:28,2,1,TEN 30,7,7,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Monty Rice),3.66,3.84
2,0:13,1,10,TEN 26,7,7,Justin Herbert spiked the ball,3.84,3.36
2,0:12,2,10,TEN 25,7,7,Justin Herbert pass deep left (defended by Roger McCreary) intended for Mike Williams is intercepted by Joshua Kalu in end zone and returned for no gain,3.36,-0.28
2,0:07,1,10,TEN 20,7,7,Ryan Tannehill kneels for -1 yards,0.28,-0.46
3,15:00,,,TEN 35,7,7,"Randy Bullock kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,LAC 25,7,7,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Kevin Byard),0.61,1.28
3,14:34,2,1,LAC 34,7,7,Austin Ekeler up the middle for 7 yards (tackle by Kevin Byard and Greg Mabin),1.28,1.66
3,13:59,1,10,LAC 41,7,7,"Justin Herbert pass incomplete short right intended for Keenan Allen. Penalty on Mario Edwards: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.66,1.99
3,13:48,1,10,LAC 46,7,7,Justin Herbert pass incomplete short right intended for Austin Ekeler,1.99,1.45
3,13:45,2,10,LAC 46,7,7,Justin Herbert pass complete short middle to Josh Palmer for 6 yards (tackle by Monty Rice and Jack Gibbens),1.45,1.55
3,13:10,3,4,TEN 48,7,7,Justin Herbert sacked by DeMarcus Walker for -7 yards,1.55,-0.39
3,12:34,4,11,LAC 45,7,7,"JK Scott punts 35 yards, recovered by Mason Kinsey at TEN-20 and returned for 1 yard",-0.39,-0.34
3,12:24,1,10,TEN 21,7,7,Derrick Henry left end for 4 yards (tackle by Kyle Van Noy and Kenneth Murray),0.34,0.34
3,11:43,2,6,TEN 25,7,7,Ryan Tannehill pass complete short left to Robert Woods for 4 yards (tackle by Michael Davis),0.34,0.17
3,11:03,3,2,TEN 29,7,7,Ryan Tannehill pass incomplete short right intended for Robert Woods (defended by Asante Samuel),0.17,-1.44
3,10:57,4,2,TEN 29,7,7,"Ryan Stonehouse punts 66 yards, returned by DeAndre Carter for 13 yards (tackle by Kevin Rader)",-1.44,-0.04
