Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
1,3:35,3,9,LAC 34,0,0,"Justin Herbert pass complete to Keenan Allen for 12 yards IND challenged the pass completion ruling, and the original play was overturned. Justin Herbert pass incomplete short middle intended for Keenan Allen",0.04,-1.11
1,3:33,4,9,LAC 34,0,0,JK Scott punts 36 yards out of bounds,-1.11,-0.94
1,3:25,1,10,IND 30,0,0,Zack Moss right tackle for 4 yards (tackle by Sebastian Joseph-Day),0.94,0.93
1,2:50,2,6,IND 34,0,0,Nick Foles sacked by Drue Tranquill for no gain,0.93,0.23
1,2:02,3,6,IND 34,0,0,Nick Foles sacked by Kenneth Murray for -8 yards,0.23,-1.63
1,1:18,4,14,IND 26,0,0,"Matt Haack punts 43 yards, returned by DeAndre Carter for 9 yards (tackle by Grant Stuard). Penalty on Ja'Sir Taylor: Offensive Holding, 10 yards (accepted)",-1.63,-0.94
1,1:07,1,10,LAC 30,0,0,Justin Herbert pass complete short middle to Keenan Allen for 15 yards (tackle by Rodney Thomas),0.94,1.93
1,0:33,1,10,LAC 45,0,0,Austin Ekeler right tackle for -1 yards (tackle by Kwity Paye),1.93,1.25
2,15:00,2,11,LAC 44,0,0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Bobby Okereke),1.25,1.09
2,14:25,3,7,LAC 48,0,0,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by Zaire Franklin and Julian Blackmon),1.09,2.65
2,13:45,1,10,IND 44,0,0,Justin Herbert sacked by Dayo Odeyingbo for -11 yards,2.65,0.63
2,13:04,2,21,LAC 45,0,0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Julian Blackmon),0.63,1.03
2,12:28,3,13,IND 47,0,0,Justin Herbert pass complete short left to Mike Williams for 16 yards (tackle by Brandon Facyson),1.03,3.51
2,11:46,1,10,IND 31,0,0,Joshua Kelley right guard for 1 yard (tackle by Julian Blackmon),3.51,3.1
2,11:14,2,9,IND 30,0,0,Justin Herbert pass complete short right to Mike Williams for 18 yards (tackle by Rodney Thomas),3.1,4.78
