Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
2,8:11,2,15,ATL 41,0,10,Justin Herbert pass complete short right to Michael Bandy for 6 yards (tackle by Isaiah Oliver),1.96,2.08
2,7:32,3,9,ATL 35,0,10,Justin Herbert pass complete short left to Gerald Everett for 12 yards (tackle by Mykal Walker),2.08,4.04
2,7:04,1,10,ATL 23,0,10,Austin Ekeler left tackle for 9 yards (tackle by Isaiah Oliver and Cornell Armstrong),4.04,4.95
2,6:32,2,1,ATL 14,0,10,Austin Ekeler left tackle for -1 yards (tackle by Grady Jarrett),4.95,4.05
2,5:53,3,2,ATL 15,0,10,Justin Herbert pass complete short right to Michael Bandy for 4 yards (tackle by Isaiah Oliver),4.05,4.84
2,5:19,1,10,ATL 11,0,10,Austin Ekeler right tackle for 9 yards (tackle by Jaylinn Hawkins and Isaiah Oliver),4.84,5.85
2,4:43,2,1,ATL 2,6,10,"Austin Ekeler right end for 2 yards, touchdown",5.85,7
2,4:38,,,ATL 15,7,10,Cameron Dicker kicks extra point good,0,0
2,4:38,,,LAC 35,7,10,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,4:38,1,10,ATL 25,7,10,Marcus Mariota pass complete short left to Olamide Zaccheaus for 4 yards (tackle by Michael Davis),0.61,0.6
2,4:00,2,6,ATL 29,7,10,Cordarrelle Patterson right guard for 3 yards (tackle by Derwin James),0.6,0.3
2,3:19,3,3,ATL 32,7,10,Marcus Mariota sacked by Derwin James for -8 yards,0.3,-1.77
2,2:42,4,11,ATL 24,7,10,"Bradley Pinion punts 52 yards, returned by DeAndre Carter for 13 yards (tackle by Tyler Allgeier and Nick Kwiatkoski)",-1.77,-1.4
2,2:28,1,10,LAC 37,7,10,Isaiah Spiller for 5 yards (tackle by Jalen Dalton),1.4,1.53
2,2:00,2,5,LAC 42,7,10,Justin Herbert pass complete short left to Michael Bandy for 4 yards (tackle by Richie Grant),1.53,1.36
2,1:49,3,1,LAC 46,7,10,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Cornell Armstrong),1.36,2.19
2,1:48,1,10,LAC 49,7,10,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Timmy Horne),2.19,1.65
2,1:44,2,10,LAC 49,7,10,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Lorenzo Carter),1.65,1.62
2,1:34,3,5,ATL 46,7,10,Justin Herbert pass complete short middle to DeAndre Carter for 23 yards (tackle by Mykal Walker),1.62,4.04
2,1:12,1,10,ATL 23,7,10,Sony Michel right guard for 12 yards (tackle by Richie Grant and Mykal Walker),4.04,4.84
2,0:50,1,10,ATL 11,7,10,Justin Herbert pass complete short right to DeAndre Carter for 10 yards (tackle by Cornell Armstrong and Jaylinn Hawkins),4.84,6.97
2,0:41,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:41,1,1,ATL 1,7,10,Justin Herbert pass incomplete short right intended for Richard Rodgers,6.97,5.91
2,0:36,2,1,ATL 1,13,10,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",5.91,7
2,0:32,,,ATL 15,14,10,Cameron Dicker kicks extra point good,0,0
2,0:32,,,LAC 35,14,10,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,0:32,1,10,ATL 25,14,10,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,0.61,0.06
2,0:26,2,10,ATL 25,14,10,Marcus Mariota pass incomplete short right intended for KhaDarel Hodge (defended by Michael Davis),0.06,-0.62
2,0:22,3,10,ATL 25,14,10,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,-0.62,-1.7
2,0:12,4,10,ATL 25,14,10,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",-1.7,-2.03
2,0:12,4,15,ATL 20,14,10,Bradley Pinion punts 49 yards downed by Mike Ford,-2.03,0.28
3,15:00,,,ATL 35,14,10,"Bradley Pinion kicks off 62 yards, returned by DeAndre Carter for 18 yards (tackle by Keith Smith)",0,0.34
3,14:54,1,10,LAC 21,14,10,Justin Herbert pass incomplete short left intended for Gerald Everett,0.34,-0.2
3,14:49,2,10,LAC 21,14,10,Isaiah Spiller right tackle for 3 yards (tackle by Mykal Walker and Adetokunbo Ogundeji),-0.2,-0.49
3,14:11,3,7,LAC 24,14,10,Justin Herbert pass incomplete short left intended for Richard Rodgers (defended by Troy Andersen),-0.49,-1.77
3,14:02,4,7,LAC 24,14,10,"JK Scott punts 44 yards, fair catch by Avery Williams at ATL-32",-1.77,-1.07
3,13:55,1,10,ATL 32,14,10,Tyler Allgeier left end for 9 yards (tackle by Derwin James and Michael Davis),1.07,1.74
3,13:29,2,1,ATL 41,14,10,Marcus Mariota left guard for 4 yards (tackle by Drue Tranquill),1.74,1.93
